MilestoneID,             Dependencies, EstimatedEffort, Lead,  Completed, Description
DefineInitialMilestones, , 30m, SF, Y, Come up with initial milestones for getting started
FinishLabExercises, , ?, ALL, Y, Finish CodeGen lab exercise and problem sheets 
WriteLexerTokens, , 3h, NG, Y, Write initial Lexer structure based on ANSI C
WriteLexerTypedefs, WriteLexerTokens, 1.5h, NG, Y, Add typedef support to Lexer
DebugLexer, WriteLexerTypedefs, 5h, SF, N, Test Lexer by creating fake context header and using separate main
AddTypedefExtremeCaseSupport, DebugLexer, 4h, SF, N, Add support for extreme typdef use cases
AddParserRules, WriteLexerTypedefs, 4h, NG, Y, Create Parser template with basic rules
AddParserASTSupport,AddParserRules, 6h?, ALL, N, Add AST support in Parser rules
CreateAST, , 15h, ALL, Y, Create AST with nodes
PrintFunctionForNodes, , 3h, NG, N, Create printfunction for AST nodes
DebugParser, AddParserASTSupport, 6h?, ALL, N, Debug parser using completed Lexer
MakeTestSuite, , 2h, SF, Y, Create the test suite 
CreateTestCasesTestSuite, MakeTestSuite, 2h, SF, Y, Create the test_deliverable cases
MakeOverheadInfrastructure, ,3h, SF, Y, Create infrastructure to allow for automated testing compliant to spec
CtoPython, CreateAST, 15h, SF, Y, Create c to python translator
CtoPythonDebugging, CtoPython, 5h, SF, N, Debug the translator and make to work with test suite
MipsContext, CreateAST, 6h, NG, Y, Create the context structs for CodeGen
MipsOverhead, MipsContext, 8h, Codegen for declarations, functions etc.
MipsExpressions, CreateAST, 15h, SF, N, Create mips code for expressions
MipsStatements, CreateAST, ??h, ALL, N, Create mips code for statements
MipsBranches, CreateAST, ??h, ALL, N, Create mips code for branches
